Key.cmd,1652800725944635000
R,Key.cmd,1652800727142065000
P,Key.cmd,1652800727511569000
P,Key.tab,1652800727958784000
R,Key.tab,1652800728161982000
R,Key.cmd,1652800728240479000
R,<0>,1652800728497228000
P,'f',1652800729715537000
R,'f',1652800729787937000
P,'a',1652800729887699000
R,'a',1652800729955335000
P,'c',1652800730027444000
R,'c',1652800730088130000
P,'f',1652800733531290000
P,'a',1652800733594415000
R,'f',1652800733602375000
R,'a',1652800733674141000
P,'c',1652800733738054000
R,'c',1652800733797416000
P,'e',1652800733832076000
R,'e',1652800733904340000
P,Key.enter,1652800734628253000
R,Key.enter,1652800734689665000
P,'f',1652800739743983000
R,'f',1652800739815260000
P,'d',1652800739868871000
R,'d',1652800739896195000
P,'1',1652800741846040000
R,'1',1652800741893856000
P,Key.cmd,1652800742726130000
P,'1',1652800743497826000
R,Key.cmd,1652800743625630000
R,'1',1652800743641765000
P,Key.backspace,1652800766071436000
R,Key.backspace,1652800766116713000
P,Key.backspace,1652800766417513000
R,Key.backspace,1652800766489611000
P,'p',1652800767006979000
R,'p',1652800767070830000
P,'d',1652800767208591000
R,'d',1652800767231990000
P,'1',1652800769404276000
R,'1',1652800769504667000
P,'s',1652800769921427000
R,'s',1652800770005450000
P,'o',1652800770117149000
R,'o',1652800770193507000
P,'c',1652800770216236000
R,'c',1652800770296834000
P,'i',1652800770362951000
R,'i',1652800770431752000
P,'a',1652800770488204000
R,'a',1652800770581443000
P,'l',1652800770645745000
R,'l',1652800770703638000
P,Key.shift,1652800772254106000
P,'@',1652800772398371000
R,Key.shift,1652800772434094000
R,'2',1652800772466359000
P,'g',1652800772865317000
R,'g',1652800772937487000
P,'m',1652800773112199000
R,'m',1652800773188612000
P,'a',1652800773261144000
R,'a',1652800773329160000
P,'i',1652800773368145000
R,'i',1652800773436388000
P,'l',1652800773564188000
R,'l',1652800773636346000
P,'.',1652800773770191000
R,'.',1652800773842389000
P,'c',1652800773951185000
R,'c',1652800774027220000
P,'o',1652800774098279000
R,'o',1652800774178679000
P,'m',1652800774302085000
R,'m',1652800774370304000
P,Key.shift,1652800779323061000
R,Key.shift,1652800779719064000
P,Key.shift,1652800781628054000
R,Key.shift,1652800782076145000
P,Key.shift,1652800813265550000
P,'A',1652800813425219000
R,Key.shift,1652800813444039000
P,'f',1652800813499855000
R,'a',1652800813540337000
R,'f',1652800813565037000
P,'t',1652800813603255000
R,'t',1652800813687247000
P,'e',1652800813748224000
R,'e',1652800813847795000
P,'r',1652800813957345000
R,'r',1652800814038631000
P,Key.space,1652800814064757000
R,Key.space,1652800814142240000
P,'w',1652800814298264000
R,'w',1652800814422393000
P,'a',1652800814564744000
R,'a',1652800814631133000
P,'t',1652800814676994000
R,'t',1652800814747445000
P,'c',1652800814896985000
R,'c',1652800814982334000
P,'h',1652800815031982000
R,'h',1652800815108285000
P,'i',1652800815166300000
R,'i',1652800815247300000
P,'n',1652800815376166000
R,'n',1652800815456505000
P,'g',1652800815554255000
R,'g',1652800815634417000
P,Key.space,1652800815681987000
R,Key.space,1652800815754128000
P,'t',1652800815872091000
R,'t',1652800815918919000
P,'h',1652800816092061000
R,'h',1652800816164266000
P,'i',1652800816898931000
R,'i',1652800816975304000
P,'s',1652800817020935000
R,'s',1652800817116630000
P,Key.backspace,1652800818483026000
R,Key.backspace,1652800818554984000
P,Key.backspace,1652800818668193000
R,Key.backspace,1652800818748041000
P,'i',1652800819477212000
P,'s',1652800819553149000
R,'i',1652800819560320000
R,'s',1652800819625156000
P,Key.space,1652800819668000000
R,Key.space,1652800819748622000
P,'c',1652800819832162000
R,'c',1652800819914232000
P,'l',1652800819975241000
R,'l',1652800820043065000
P,'i',1652800820158532000
R,'i',1652800820231252000
P,'p',1652800820375984000
R,'p',1652800820487283000
P,Key.space,1652800820631244000
R,Key.space,1652800820731294000
P,Key.shift,1652800821167493000
P,'I',1652800821250877000
R,Key.shift,1652800821314079000
R,'i',1652800821339203000
P,Key.space,1652800821419939000
R,Key.space,1652800821520099000
P,'w',1652800822051027000
R,'w',1652800822164521000
P,'a',1652800822314055000
R,'a',1652800822397242000
P,'s',1652800822500823000
R,'s',1652800822568911000
P,Key.space,1652800822642377000
R,Key.space,1652800822715623000
P,'r',1652800823141874000
R,'r',1652800823214352000
P,'e',1652800823303608000
R,'e',1652800823391852000
P,'m',1652800823393012000
R,'m',1652800823480818000
P,'i',1652800823581599000
R,'i',1652800823680020000
P,'n',1652800823785098000
R,'n',1652800823873431000
P,'e',1652800824047335000
R,'e',1652800824097241000
P,Key.backspace,1652800824374145000
R,Key.backspace,1652800824486890000
P,'d',1652800825821743000
R,'d',1652800825925644000
P,'e',1652800826214582000
R,'e',1652800826323142000
P,'d',1652800826424684000
R,'d',1652800826488695000
P,Key.space,1652800826604443000
R,Key.space,1652800826708908000
P,'o',1652800826823811000
P,'f',1652800826913467000
R,'o',1652800826930438000
R,'f',1652800826998298000
P,Key.space,1652800827014876000
R,Key.space,1652800827087779000
P,'t',1652800827181990000
R,'t',1652800827222653000
P,'h',1652800827334572000
P,'e',1652800827366334000
R,'h',1652800827431343000
R,'e',1652800827451912000
P,Key.space,1652800827484582000
R,Key.space,1652800827564737000
P,'b',1652800827631206000
R,'b',1652800827709810000
P,'r',1652800827723777000
R,'r',1652800827812777000
P,'e',1652800827913839000
R,'e',1652800828015492000
P,'a',1652800828932181000
R,'a',1652800829025031000
P,'k',1652800829130691000
R,'k',1652800829198822000
P,Key.backspace,1652800829455524000
R,Key.backspace,1652800829541031000
P,Key.backspace,1652800829623729000
R,Key.backspace,1652800829714534000
P,Key.backspace,1652800829795359000
R,Key.backspace,1652800829881001000
P,Key.backspace,1652800829968431000
R,Key.backspace,1652800830048437000
P,Key.backspace,1652800830354781000
R,Key.backspace,1652800830442569000
P,'m',1652800831013471000
R,'m',1652800831107042000
P,'o',1652800831202676000
R,'o',1652800831280442000
P,'v',1652800831457498000
R,'v',1652800831521796000
P,'i',1652800831653448000
R,'i',1652800831737633000
P,'e',1652800831770602000
R,'e',1652800831851643000
P,Key.space,1652800831909219000
R,Key.space,1652800831979655000
P,Key.shift,1652800832240597000
P,"'""'",1652800833280195000
R,"'""'",1652800833388380000
R,Key.shift,1652800833430250000
P,Key.shift,1652800833652546000
P,'D',1652800834000487000
R,'D',1652800834035042000
R,Key.shift,1652800834088770000
P,'e',1652800834142078000
R,'e',1652800834219663000
P,'a',1652800834247815000
R,'a',1652800834338587000
P,'d',1652800834368769000
R,'d',1652800834420690000
P,Key.space,1652800834863549000
R,Key.space,1652800834947628000
P,Key.shift,1652800835056859000
P,'P',1652800835172272000
R,Key.shift,1652800835219537000
R,'p',1652800835252702000
P,'o',1652800835343545000
R,'o',1652800835414882000
P,'e',1652800835452242000
R,'e',1652800835532515000
P,'t',1652800835613852000
R,'t',1652800835672464000
P,'s',1652800835730322000
R,'s',1652800835805767000
P,Key.space,1652800835880278000
R,Key.space,1652800835955820000
P,Key.shift,1652800836062103000
P,'S',1652800836242479000
R,Key.shift,1652800836338319000
R,'s',1652800836380396000
P,'c',1652800836519496000
R,'c',1652800836606281000
P,Key.backspace,1652800836954230000
R,Key.backspace,1652800837066358000
P,'o',1652800837414190000
R,'o',1652800837506582000
P,'c',1652800837738487000
R,'c',1652800837819371000
P,'i',1652800837941290000
R,'i',1652800838021464000
P,'e',1652800838081934000
R,'e',1652800838162032000
P,'t',1652800838272348000
R,'t',1652800838347980000
P,'y',1652800838454249000
R,'y',1652800838518506000
P,Key.shift,1652800838650118000
P,"'""'",1652800838790212000
R,Key.shift,1652800838849274000
R,"""'""",1652800838890641000
P,Key.space,1652800838989503000
R,Key.space,1652800839053124000
P,'a',1652800839097994000
R,'a',1652800839188532000
P,'n',1652800839247227000
R,'n',1652800839321453000
P,'d',1652800839358362000
R,'d',1652800839400979000
P,Key.space,1652800839464691000
R,Key.space,1652800839533127000
P,'i',1652800839958550000
R,'i',1652800840051433000
P,Key.backspace,1652800840655146000
R,Key.backspace,1652800840771159000
P,'r',1652800842200186000
R,'r',1652800842288374000
P,'e',1652800842397014000
R,'e',1652800842480459000
P,'a',1652800842919782000
R,'a',1652800843014468000
P,'l',1652800843087000000
R,'l',1652800843183099000
P,'i',1652800843369075000
R,'i',1652800843468696000
P,'z',1652800843472961000
R,'z',1652800843564267000
P,'e',1652800843742038000
R,'e',1652800843833982000
P,Key.space,1652800844041728000
R,Key.space,1652800844117322000
P,'h',1652800844224120000
R,'h',1652800844297434000
P,'o',1652800844402985000
R,'o',1652800844496664000
P,'w',1652800844502614000
R,'w',1652800844582918000
P,Key.space,1652800844600105000
R,Key.space,1652800844685094000
P,'i',1652800845540213000
R,'i',1652800845615648000
P,'m',1652800845750791000
R,'m',1652800845854226000
P,'p',1652800845975021000
R,'p',1652800846050201000
P,'o',1652800846133573000
R,'o',1652800846214934000
P,'r',1652800846304081000
R,'r',1652800846380591000
P,'t',1652800846435008000
R,'t',1652800846504065000
P,'a',1652800846586584000
R,'a',1652800846714824000
P,'n',1652800846791978000
R,'n',1652800846859929000
P,'t',1652800846980167000
R,'t',1652800847080297000
P,Key.space,1652800847223848000
R,Key.space,1652800847313627000
P,'t',1652800847684949000
R,'t',1652800847769076000
P,'e',1652800847800700000
R,'e',1652800847904949000
P,'a',1652800848035905000
R,'a',1652800848164656000
P,'c',1652800848173771000
R,'c',1652800848247221000
P,'h',1652800848383761000
P,'e',1652800848439618000
R,'h',1652800848482695000
R,'e',1652800848530868000
P,'r',1652800848624724000
R,'r',1652800848715864000
P,'s',1652800848868880000
R,'s',1652800849008951000
P,Key.space,1652800849059732000
R,Key.space,1652800849131129000
P,'a',1652800849230380000
R,'a',1652800849363806000
P,'r',1652800849378530000
R,'r',1652800849446917000
P,'e',1652800849541035000
R,'e',1652800849621914000
P,Key.space,1652800849730255000
R,Key.space,1652800849804820000
P,'t',1652800849999676000
R,'t',1652800850071793000
P,'o',1652800850155244000
R,'o',1652800850263461000
P,Key.space,1652800850346798000
R,Key.space,1652800850417891000
P,'y',1652800850698542000
R,'y',1652800850787030000
P,'o',1652800850913505000
R,'o',1652800851015662000
P,'u',1652800851086275000
R,'u',1652800851150445000
P,'n',1652800851339777000
R,'n',1652800851407772000
P,Key.backspace,1652800851846899000
R,Key.backspace,1652800851972773000
P,Key.backspace,1652800852054462000
R,Key.backspace,1652800852153399000
P,Key.backspace,1652800852224633000
R,Key.backspace,1652800852300078000
P,Key.backspace,1652800852396505000
R,Key.backspace,1652800852501649000
P,'t',1652800853513247000
R,'t',1652800853589079000
P,'e',1652800853691854000
R,'e',1652800853784205000
P,Key.backspace,1652800854239772000
R,Key.backspace,1652800854335750000
P,Key.backspace,1652800854430144000
R,Key.backspace,1652800854500190000
P,'y',1652800856054396000
R,'y',1652800856150500000
P,'o',1652800856296729000
R,'o',1652800856391685000
P,'u',1652800856483428000
R,'u',1652800856551658000
P,'n',1652800857132138000
R,'n',1652800857251805000
P,'g',1652800857417530000
R,'g',1652800857490698000
P,Key.space,1652800857663395000
R,Key.space,1652800857757700000
P,'k',1652800857913415000
R,'k',1652800858015887000
P,'i',1652800858113499000
R,'i',1652800858209521000
P,'d',1652800859082198000
R,'d',1652800859182290000
P,'s',1652800859304311000
R,'s',1652800859463281000
P,'.',1652800859680216000
R,'.',1652800859780303000
P,Key.space,1652800859918250000
R,Key.space,1652800860022474000
P,Key.shift,1652800860280112000
P,'E',1652800860531079000
R,'E',1652800860602937000
R,Key.shift,1652800860612579000
P,'v',1652800860786164000
R,'v',1652800860874520000
P,'e',1652800860922101000
R,'e',1652800861022468000
P,'n',1652800861066970000
R,'n',1652800861134244000
P,Key.space,1652800861268854000
R,Key.space,1652800861348838000
P,'i',1652800861403281000
R,'i',1652800861475487000
P,'f',1652800861492077000
R,'f',1652800861583686000
P,Key.space,1652800861609133000
R,Key.space,1652800861681002000
P,'t',1652800861772272000
R,'t',1652800861840361000
P,'h',1652800861954337000
P,'e',1652800862034170000
R,'h',1652800862035171000
R,'e',1652800862141629000
P,'i',1652800862154099000
R,'i',1652800862230279000
P,'r',1652800862278753000
R,'r',1652800862362127000
P,Key.space,1652800862387097000
R,Key.space,1652800862470402000
P,'m',1652800862605045000
R,'m',1652800862693036000
P,'e',1652800862763217000
R,'e',1652800862853193000
P,'t',1652800863012890000
R,'t',1652800863102013000
P,'h',1652800863236159000
R,'h',1652800863311899000
P,'o',1652800863446738000
R,'o',1652800863550124000
P,'s',1652800863809229000
R,'s',1652800863909239000
P,Key.space,1652800863925767000
R,Key.space,1652800864013604000
P,'realized',1652800868351904000
R,'realized',1652800868352945000
P,"','",1652800873567760000
R,"','",1652800873568819000
P,'methods',1652800875132973000
R,'methods',1652800875133534000
P,Key.space,1652800876114336000
R,Key.space,1652800876230813000
P,'s',1652800876496443000
R,'s',1652800876612791000
P,'e',1652800876775680000
R,'e',1652800876835090000
P,'e',1652800876945538000
R,'e',1652800877007839000
P,'m',1652800877046192000
R,'m',1652800877115988000
P,Key.space,1652800877153873000
R,Key.space,1652800877234626000
P,'u',1652800877663383000
R,'u',1652800877731613000
P,'n',1652800877835434000
R,'n',1652800877913240000
P,'o',1652800878020622000
R,'o',1652800878104915000
P,'r',1652800878132502000
R,'r',1652800878212748000
P,'t',1652800878305327000
R,'t',1652800878380468000
P,'h',1652800878474554000
R,'h',1652800878547507000
P,'o',1652800878647421000
R,'o',1652800878739827000
P,'d',1652800879133930000
R,'d',1652800879186802000
P,'o',1652800879647566000
R,'o',1652800879762936000
P,'x',1652800879869325000
R,'x',1652800879997295000
P,"','",1652800880396342000
R,"','",1652800880485764000
P,Key.space,1652800880621387000
R,Key.space,1652800880716443000
P,'i',1652800881565012000
R,'i',1652800881648970000
P,'t',1652800881836409000
R,'t',1652800881892727000
P,Key.space,1652800881974473000
R,Key.space,1652800882042600000
P,'t',1652800882103356000
R,'t',1652800882170327000
P,'r',1652800882263982000
R,'r',1652800882348287000
P,'u',1652800882392084000
R,'u',1652800882464204000
P,'l',1652800882638079000
R,'l',1652800882717241000
P,'y',1652800882881092000
R,'y',1652800882964630000
P,Key.space,1652800883022453000
R,Key.space,1652800883090593000
P,'t',1652800883162504000
R,'t',1652800883246824000
P,'a',1652800883402333000
R,'a',1652800883542676000
P,'k',1652800883580081000
R,'k',1652800883667033000
P,'e',1652800883718599000
R,'e',1652800883806555000
P,'s',1652800883937277000
R,'s',1652800884053576000
P,Key.space,1652800884080599000
R,Key.space,1652800884157445000
P,'a',1652800884246565000
R,'a',1652800884363603000
P,Key.space,1652800884364354000
R,Key.space,1652800884446808000
P,'s',1652800884749065000
R,'s',1652800884863165000
P,'p',1652800885280116000
R,'p',1652800885392678000
P,'e',1652800885451234000
R,'e',1652800885547273000
P,'c',1652800885696396000
R,'c',1652800885781259000
P,'i',1652800885962286000
R,'i',1652800886029922000
P,'a',1652800886559403000
